family_id,score,review_required,reasons
family_ivanovy,0,false,
family_dima,0,false,
family_000002,0,false,
family_000003,0,false,
family_000004,0,false,
family_000005,0,false,
family_000006,0,false,
family_000007,0,false,
family_000008,0,false,
family_000009,0,false,
family_000010,0,false,
family_000011,0,false,
family_000012,0,false,
family_000013,0,false,
family_000014,0,false,
family_000015,0,false,
family_000016,0,false,
family_000017,0,false,
family_000018,0,false,
family_000019,0,false,
family_000020,0,false,
family_000021,0,false,
family_000022,0,false,
family_000023,0,false,
family_000024,0,false,
family_000025,0,false,
family_000026,0,false,
family_000027,0,false,
family_000028,0,false,
family_000029,0,false,
family_000030,0,false,
family_000031,0,false,
family_000032,0,false,
family_000033,0,false,
family_000034,0,false,
family_000035,0,false,
family_000036,0,false,
family_000037,0,false,
family_000038,0,false,
family_000039,0,false,
family_000040,0,false,
family_000041,0,false,
family_000042,0,false,
family_000043,0,false,
family_000044,0,false,
family_000045,0,false,
family_000046,0,false,
family_000047,0,false,
family_000048,0,false,
family_000049,0,false,
family_000050,0,false,
family_000051,0,false,
family_000052,0,false,
family_000053,0,false,
family_000054,0,false,
family_000055,0,false,
family_000056,0,false,
family_000057,0,false,
family_000058,0,false,
family_000059,0,false,
family_000060,0,false,
family_000061,0,false,
family_000062,0,false,
family_000063,0,false,
family_000064,0,false,
family_000065,0,false,
family_000066,0,false,
family_000067,0,false,
family_000068,0,false,
family_000069,0,false,
family_000070,0,false,
family_000071,0,false,
family_000072,0,false,
family_000073,0,false,
family_000074,0,false,
family_000075,0,false,
family_000076,0,false,
family_000077,0,false,
family_000078,0,false,
family_000079,0,false,
family_000080,0,false,
family_000081,0,false,
family_000082,0,false,
family_000083,0,false,
family_000084,0,false,
family_000085,0,false,
family_000086,0,false,
family_000087,0,false,
family_000088,0,false,
family_000089,0,false,
family_000090,0,false,
family_000091,0,false,
family_000092,0,false,
family_000093,0,false,
family_000094,0,false,
family_000095,0,false,
family_000096,0,false,
family_000097,0,false,
family_000098,0,false,
family_000099,0,false,
family_000100,0,false,
family_000101,0,false,
family_000102,0,false,
family_000103,0,false,
family_000104,0,false,
family_000105,0,false,
family_000106,0,false,
family_000107,0,false,
family_000108,0,false,
family_000109,0,false,
family_000110,0,false,
family_000111,0,false,
family_000112,0,false,
family_000113,0,false,
family_000114,0,false,
family_000115,0,false,
family_000116,0,false,
family_000117,0,false,
family_000118,0,false,
family_000119,0,false,
family_000120,0,false,
family_000121,0,false,
family_000122,0,false,
family_000123,0,false,
family_000124,0,false,
family_000125,0,false,
family_000126,0,false,
family_000127,0,false,
family_000128,0,false,
family_000129,0,false,
family_000130,0,false,
family_000131,0,false,
family_000132,0,false,
family_000133,0,false,
family_000134,0,false,
family_000135,0,false,
family_000136,0,false,
family_000137,0,false,
family_000138,0,false,
family_000139,0,false,
family_000140,0,false,
family_000141,0,false,
family_000142,0,false,
family_000143,0,false,
family_000144,0,false,
family_000145,0,false,
family_000146,0,false,
family_000147,0,false,
family_000148,0,false,
family_000149,0,false,
family_000150,0,false,
family_000151,0,false,
family_000152,0,false,
family_000153,0,false,
family_000154,0,false,
family_000155,0,false,
family_000156,0,false,
family_000157,0,false,
family_000158,0,false,
family_000159,0,false,
family_000160,0,false,
family_000161,0,false,
family_000162,0,false,
family_000163,0,false,
family_000164,0,false,
family_000165,0,false,
family_000166,0,false,
family_000167,0,false,
family_000168,0,false,
family_000169,0,false,
family_000170,0,false,
family_000171,0,false,
family_000172,0,false,
family_000173,90,true,одна карта связана минимум с четырьмя семьями; доля возвратов не ниже 50%; повторяющиеся уценённые SKU в коротком окне
family_000174,0,false,
family_000175,0,false,
family_000176,0,false,
family_000177,0,false,
family_000178,0,false,
family_000179,0,false,
family_000180,0,false,
family_000181,0,false,
family_000182,0,false,
family_000183,0,false,
family_000184,0,false,
family_000185,0,false,
family_000186,0,false,
family_000187,0,false,
family_000188,0,false,
family_000189,0,false,
family_000190,0,false,
family_000191,0,false,
family_000192,0,false,
family_000193,0,false,
family_000194,0,false,
family_000195,0,false,
family_000196,0,false,
family_000197,0,false,
family_000198,0,false,
family_000199,0,false,
family_000200,0,false,
family_000201,0,false,
family_000202,0,false,
family_000203,0,false,
family_000204,0,false,
family_000205,0,false,
family_000206,0,false,
family_000207,0,false,
family_000208,0,false,
family_000209,0,false,
family_000210,0,false,
family_000211,0,false,
family_000212,0,false,
family_000213,0,false,
family_000214,0,false,
family_000215,0,false,
family_000216,0,false,
family_000217,0,false,
family_000218,0,false,
family_000219,0,false,
family_000220,0,false,
family_000221,0,false,
family_000222,0,false,
family_000223,0,false,
family_000224,0,false,
family_000225,0,false,
family_000226,0,false,
family_000227,0,false,
family_000228,0,false,
family_000229,0,false,
family_000230,0,false,
family_000231,0,false,
family_000232,0,false,
family_000233,0,false,
family_000234,0,false,
family_000235,0,false,
family_000236,0,false,
family_000237,0,false,
family_000238,0,false,
family_000239,0,false,
family_000240,0,false,
family_000241,0,false,
family_000242,0,false,
family_000243,0,false,
family_000244,0,false,
family_000245,0,false,
family_000246,0,false,
family_000247,0,false,
family_000248,0,false,
family_000249,0,false,
family_000250,0,false,
family_000251,0,false,
family_000252,0,false,
family_000253,0,false,
family_000254,0,false,
family_000255,0,false,
family_000256,0,false,
family_000257,0,false,
family_000258,0,false,
family_000259,0,false,
family_000260,0,false,
family_000261,0,false,
family_000262,0,false,
family_000263,0,false,
family_000264,0,false,
family_000265,0,false,
family_000266,0,false,
family_000267,0,false,
family_000268,0,false,
family_000269,0,false,
family_000270,0,false,
family_000271,0,false,
family_000272,0,false,
family_000273,0,false,
family_000274,0,false,
family_000275,0,false,
family_000276,0,false,
family_000277,0,false,
family_000278,0,false,
family_000279,0,false,
family_000280,0,false,
family_000281,0,false,
family_000282,0,false,
family_000283,0,false,
family_000284,0,false,
family_000285,0,false,
family_000286,0,false,
family_000287,0,false,
family_000288,0,false,
family_000289,0,false,
family_000290,0,false,
family_000291,0,false,
family_000292,0,false,
family_000293,0,false,
family_000294,0,false,
family_000295,0,false,
family_000296,0,false,
family_000297,0,false,
family_000298,0,false,
family_000299,0,false,
family_000300,0,false,
family_000301,0,false,
family_000302,0,false,
family_000303,0,false,
family_000304,0,false,
family_000305,0,false,
family_000306,0,false,
family_000307,0,false,
family_000308,0,false,
family_000309,0,false,
family_000310,0,false,
family_000311,0,false,
family_000312,0,false,
family_000313,0,false,
family_000314,0,false,
family_000315,0,false,
family_000316,0,false,
family_000317,0,false,
family_000318,0,false,
family_000319,0,false,
family_000320,0,false,
family_000321,0,false,
family_000322,0,false,
family_000323,0,false,
family_000324,0,false,
family_000325,0,false,
family_000326,0,false,
family_000327,0,false,
family_000328,0,false,
family_000329,0,false,
family_000330,0,false,
family_000331,0,false,
family_000332,0,false,
family_000333,0,false,
family_000334,0,false,
family_000335,0,false,
family_000336,0,false,
family_000337,0,false,
family_000338,0,false,
family_000339,0,false,
family_000340,0,false,
family_000341,0,false,
family_000342,0,false,
family_000343,0,false,
family_000344,0,false,
family_000345,0,false,
family_000346,90,true,одна карта связана минимум с четырьмя семьями; доля возвратов не ниже 50%; повторяющиеся уценённые SKU в коротком окне
family_000347,0,false,
family_000348,0,false,
family_000349,0,false,
family_000350,0,false,
family_000351,0,false,
family_000352,0,false,
family_000353,0,false,
family_000354,0,false,
family_000355,0,false,
family_000356,0,false,
family_000357,0,false,
family_000358,0,false,
family_000359,0,false,
family_000360,0,false,
family_000361,0,false,
family_000362,0,false,
family_000363,0,false,
family_000364,0,false,
family_000365,0,false,
family_000366,0,false,
family_000367,0,false,
family_000368,0,false,
family_000369,0,false,
family_000370,0,false,
family_000371,0,false,
family_000372,0,false,
family_000373,0,false,
family_000374,0,false,
family_000375,0,false,
family_000376,0,false,
family_000377,0,false,
family_000378,0,false,
family_000379,0,false,
family_000380,0,false,
family_000381,0,false,
family_000382,0,false,
family_000383,0,false,
family_000384,0,false,
family_000385,0,false,
family_000386,0,false,
family_000387,0,false,
family_000388,0,false,
family_000389,0,false,
family_000390,0,false,
family_000391,0,false,
family_000392,0,false,
family_000393,0,false,
family_000394,0,false,
family_000395,0,false,
family_000396,0,false,
family_000397,0,false,
family_000398,0,false,
family_000399,0,false,
family_000400,0,false,
family_000401,0,false,
family_000402,0,false,
family_000403,0,false,
family_000404,0,false,
family_000405,0,false,
family_000406,0,false,
family_000407,0,false,
family_000408,0,false,
family_000409,0,false,
family_000410,0,false,
family_000411,0,false,
family_000412,0,false,
family_000413,0,false,
family_000414,0,false,
family_000415,0,false,
family_000416,0,false,
family_000417,0,false,
family_000418,0,false,
family_000419,0,false,
family_000420,0,false,
family_000421,0,false,
family_000422,0,false,
family_000423,0,false,
family_000424,0,false,
family_000425,0,false,
family_000426,0,false,
family_000427,0,false,
family_000428,0,false,
family_000429,0,false,
family_000430,0,false,
family_000431,0,false,
family_000432,0,false,
family_000433,0,false,
family_000434,0,false,
family_000435,0,false,
family_000436,0,false,
family_000437,0,false,
family_000438,0,false,
family_000439,0,false,
family_000440,0,false,
family_000441,0,false,
family_000442,0,false,
family_000443,0,false,
family_000444,0,false,
family_000445,0,false,
family_000446,0,false,
family_000447,0,false,
family_000448,0,false,
family_000449,0,false,
family_000450,0,false,
family_000451,0,false,
family_000452,0,false,
family_000453,0,false,
family_000454,0,false,
family_000455,0,false,
family_000456,0,false,
family_000457,0,false,
family_000458,0,false,
family_000459,0,false,
family_000460,0,false,
family_000461,0,false,
family_000462,0,false,
family_000463,0,false,
family_000464,0,false,
family_000465,0,false,
family_000466,0,false,
family_000467,0,false,
family_000468,0,false,
family_000469,0,false,
family_000470,0,false,
family_000471,0,false,
family_000472,0,false,
family_000473,0,false,
family_000474,0,false,
family_000475,0,false,
family_000476,0,false,
family_000477,0,false,
family_000478,0,false,
family_000479,0,false,
family_000480,0,false,
family_000481,0,false,
family_000482,0,false,
family_000483,0,false,
family_000484,0,false,
family_000485,0,false,
family_000486,0,false,
family_000487,0,false,
family_000488,0,false,
family_000489,0,false,
family_000490,0,false,
family_000491,0,false,
family_000492,0,false,
family_000493,0,false,
family_000494,0,false,
family_000495,0,false,
family_000496,0,false,
family_000497,0,false,
